trace_id,model,interface,task_id,family,difficulty,fault_type,fault_prefix_index,mfp_category,mfp_index,delta_mfp_index,fault_to_mfp_distance,p0_failure_rate,failure_subtype,tested_prefixes
qwen2.5:7b::tool_compiler::calendar_hard_02::50000::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,wrong_id,2,nontrivial_delta_mfp,2,2,0,0.000,policy_or_state_violation,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_02::50001::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,stale_memory,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_02::50002::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,precondition_skip,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_02::50003::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,date_ambiguity,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_02::50004::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,wrong_id,2,nontrivial_delta_mfp,2,2,0,0.000,policy_or_state_violation,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_02::50005::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,stale_memory,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_02::50006::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,precondition_skip,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_02::50007::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,date_ambiguity,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_02::50008::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,wrong_id,2,nontrivial_delta_mfp,2,2,0,0.000,policy_or_state_violation,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_02::50009::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,stale_memory,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
