trace_id,model,interface,task_id,family,difficulty,failure_subtype,trajectory_len,p0_failure_rate,mfp_category,mfp_index,delta_mfp_index,delta_mfp_norm,tested_prefixes
qwen2.5:7b::tool_compiler::calendar_hard_02::20006,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,loop_or_timeout,12,0.000,nontrivial_delta_mfp,1,1,0.083,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.6666666666666667}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 0.33333333333333337}, {""prefix_index"": 4, ""failure_rate"": 0.33333333333333337}, {""prefix_index"": 5, ""failure_rate"": 1.0}, {""prefix_index"": 6, ""failure_rate"": 0.6666666666666667}, {""prefix_index"": 7, ""failure_rate"": 0.6666666666666667}, {""prefix_index"": 8, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}, {""prefix_index"": 10, ""failure_rate"": 0.33333333333333337}, {""prefix_index"": 11, ""failure_rate"": 1.0}, {""prefix_index"": 12, ""failure_rate"": 0.33333333333333337}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::20007,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,loop_or_timeout,12,0.000,unstable,,,,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.33333333333333337}, {""prefix_index"": 2, ""failure_rate"": 0.0}, {""prefix_index"": 3, ""failure_rate"": 0.0}, {""prefix_index"": 4, ""failure_rate"": 0.0}, {""prefix_index"": 5, ""failure_rate"": 0.0}, {""prefix_index"": 6, ""failure_rate"": 0.0}, {""prefix_index"": 7, ""failure_rate"": 0.0}, {""prefix_index"": 8, ""failure_rate"": 0.0}, {""prefix_index"": 9, ""failure_rate"": 0.0}, {""prefix_index"": 10, ""failure_rate"": 0.0}, {""prefix_index"": 11, ""failure_rate"": 0.0}, {""prefix_index"": 12, ""failure_rate"": 0.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::20008,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,loop_or_timeout,12,0.333,nontrivial_delta_mfp,9,9,0.750,"[{""prefix_index"": 0, ""failure_rate"": 0.33333333333333337}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}, {""prefix_index"": 3, ""failure_rate"": 0.0}, {""prefix_index"": 4, ""failure_rate"": 0.0}, {""prefix_index"": 5, ""failure_rate"": 0.0}, {""prefix_index"": 6, ""failure_rate"": 0.0}, {""prefix_index"": 7, ""failure_rate"": 0.0}, {""prefix_index"": 8, ""failure_rate"": 0.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}, {""prefix_index"": 10, ""failure_rate"": 1.0}, {""prefix_index"": 11, ""failure_rate"": 1.0}, {""prefix_index"": 12, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::20010,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,loop_or_timeout,12,0.000,nontrivial_delta_mfp,9,9,0.750,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}, {""prefix_index"": 3, ""failure_rate"": 0.0}, {""prefix_index"": 4, ""failure_rate"": 0.0}, {""prefix_index"": 5, ""failure_rate"": 0.0}, {""prefix_index"": 6, ""failure_rate"": 0.0}, {""prefix_index"": 7, ""failure_rate"": 0.0}, {""prefix_index"": 8, ""failure_rate"": 0.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}, {""prefix_index"": 10, ""failure_rate"": 1.0}, {""prefix_index"": 11, ""failure_rate"": 1.0}, {""prefix_index"": 12, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::20011,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,loop_or_timeout,12,0.000,unstable,,,,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}, {""prefix_index"": 3, ""failure_rate"": 0.0}, {""prefix_index"": 4, ""failure_rate"": 0.0}, {""prefix_index"": 5, ""failure_rate"": 0.0}, {""prefix_index"": 6, ""failure_rate"": 0.0}, {""prefix_index"": 7, ""failure_rate"": 0.0}, {""prefix_index"": 8, ""failure_rate"": 0.0}, {""prefix_index"": 9, ""failure_rate"": 0.0}, {""prefix_index"": 10, ""failure_rate"": 0.0}, {""prefix_index"": 11, ""failure_rate"": 0.0}, {""prefix_index"": 12, ""failure_rate"": 0.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::20012,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,loop_or_timeout,12,0.000,nontrivial_delta_mfp,3,3,0.250,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.33333333333333337}, {""prefix_index"": 2, ""failure_rate"": 0.33333333333333337}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 4, ""failure_rate"": 0.6666666666666667}, {""prefix_index"": 5, ""failure_rate"": 0.6666666666666667}, {""prefix_index"": 6, ""failure_rate"": 0.6666666666666667}, {""prefix_index"": 7, ""failure_rate"": 0.6666666666666667}, {""prefix_index"": 8, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 0.6666666666666667}, {""prefix_index"": 10, ""failure_rate"": 1.0}, {""prefix_index"": 11, ""failure_rate"": 0.6666666666666667}, {""prefix_index"": 12, ""failure_rate"": 0.6666666666666667}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::20013,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,loop_or_timeout,8,0.000,unstable,,,,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}, {""prefix_index"": 3, ""failure_rate"": 0.0}, {""prefix_index"": 4, ""failure_rate"": 0.0}, {""prefix_index"": 5, ""failure_rate"": 0.0}, {""prefix_index"": 6, ""failure_rate"": 0.33333333333333337}, {""prefix_index"": 7, ""failure_rate"": 0.0}, {""prefix_index"": 8, ""failure_rate"": 0.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::20014,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,loop_or_timeout,8,0.000,nontrivial_delta_mfp,4,4,0.500,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}, {""prefix_index"": 3, ""failure_rate"": 0.0}, {""prefix_index"": 4, ""failure_rate"": 0.6666666666666667}, {""prefix_index"": 5, ""failure_rate"": 0.0}, {""prefix_index"": 6, ""failure_rate"": 0.6666666666666667}, {""prefix_index"": 7, ""failure_rate"": 0.33333333333333337}, {""prefix_index"": 8, ""failure_rate"": 0.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::20015,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,loop_or_timeout,8,0.000,unstable,,,,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}, {""prefix_index"": 3, ""failure_rate"": 0.0}, {""prefix_index"": 4, ""failure_rate"": 0.0}, {""prefix_index"": 5, ""failure_rate"": 0.0}, {""prefix_index"": 6, ""failure_rate"": 0.0}, {""prefix_index"": 7, ""failure_rate"": 0.0}, {""prefix_index"": 8, ""failure_rate"": 0.0}]"
qwen2.5:7b::tool_compiler::inventory_medium_00::20018,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,loop_or_timeout,8,0.000,unstable,,,,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}, {""prefix_index"": 3, ""failure_rate"": 0.0}, {""prefix_index"": 4, ""failure_rate"": 0.33333333333333337}, {""prefix_index"": 5, ""failure_rate"": 0.0}, {""prefix_index"": 6, ""failure_rate"": 0.0}, {""prefix_index"": 7, ""failure_rate"": 0.0}, {""prefix_index"": 8, ""failure_rate"": 0.0}]"
qwen2.5:7b::raw_json::calendar_hard_01::20022,qwen2.5:7b,raw_json,calendar_hard_01,calendar,hard,loop_or_timeout,12,0.000,unstable,,,,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}, {""prefix_index"": 3, ""failure_rate"": 0.0}, {""prefix_index"": 4, ""failure_rate"": 0.0}, {""prefix_index"": 5, ""failure_rate"": 0.0}, {""prefix_index"": 6, ""failure_rate"": 0.33333333333333337}, {""prefix_index"": 7, ""failure_rate"": 0.0}, {""prefix_index"": 8, ""failure_rate"": 0.0}, {""prefix_index"": 9, ""failure_rate"": 0.33333333333333337}, {""prefix_index"": 10, ""failure_rate"": 0.0}, {""prefix_index"": 11, ""failure_rate"": 0.0}, {""prefix_index"": 12, ""failure_rate"": 0.0}]"
qwen2.5:7b::raw_json::calendar_hard_03::20030,qwen2.5:7b,raw_json,calendar_hard_03,calendar,hard,loop_or_timeout,12,0.000,unstable,,,,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}, {""prefix_index"": 3, ""failure_rate"": 0.0}, {""prefix_index"": 4, ""failure_rate"": 0.0}, {""prefix_index"": 5, ""failure_rate"": 0.0}, {""prefix_index"": 6, ""failure_rate"": 0.0}, {""prefix_index"": 7, ""failure_rate"": 0.0}, {""prefix_index"": 8, ""failure_rate"": 0.0}, {""prefix_index"": 9, ""failure_rate"": 0.0}, {""prefix_index"": 10, ""failure_rate"": 0.0}, {""prefix_index"": 11, ""failure_rate"": 0.0}, {""prefix_index"": 12, ""failure_rate"": 0.0}]"
qwen2.5:7b::raw_json::inventory_hard_02::20033,qwen2.5:7b,raw_json,inventory_hard_02,inventory,hard,loop_or_timeout,12,0.000,nontrivial_delta_mfp,1,1,0.083,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 1.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 4, ""failure_rate"": 1.0}, {""prefix_index"": 5, ""failure_rate"": 1.0}, {""prefix_index"": 6, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}, {""prefix_index"": 8, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}, {""prefix_index"": 10, ""failure_rate"": 1.0}, {""prefix_index"": 11, ""failure_rate"": 1.0}, {""prefix_index"": 12, ""failure_rate"": 1.0}]"
qwen2.5:7b::raw_json::inventory_hard_02::20036,qwen2.5:7b,raw_json,inventory_hard_02,inventory,hard,loop_or_timeout,12,0.000,nontrivial_delta_mfp,1,1,0.083,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 1.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 4, ""failure_rate"": 1.0}, {""prefix_index"": 5, ""failure_rate"": 1.0}, {""prefix_index"": 6, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}, {""prefix_index"": 8, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}, {""prefix_index"": 10, ""failure_rate"": 1.0}, {""prefix_index"": 11, ""failure_rate"": 1.0}, {""prefix_index"": 12, ""failure_rate"": 1.0}]"
qwen2.5:7b::raw_json::inventory_hard_03::20037,qwen2.5:7b,raw_json,inventory_hard_03,inventory,hard,loop_or_timeout,12,0.000,nontrivial_delta_mfp,1,1,0.083,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 1.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 4, ""failure_rate"": 1.0}, {""prefix_index"": 5, ""failure_rate"": 1.0}, {""prefix_index"": 6, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}, {""prefix_index"": 8, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}, {""prefix_index"": 10, ""failure_rate"": 1.0}, {""prefix_index"": 11, ""failure_rate"": 1.0}, {""prefix_index"": 12, ""failure_rate"": 1.0}]"
qwen2.5:7b::raw_json::inventory_hard_03::20039,qwen2.5:7b,raw_json,inventory_hard_03,inventory,hard,loop_or_timeout,12,0.000,nontrivial_delta_mfp,1,1,0.083,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 1.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 4, ""failure_rate"": 1.0}, {""prefix_index"": 5, ""failure_rate"": 1.0}, {""prefix_index"": 6, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}, {""prefix_index"": 8, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}, {""prefix_index"": 10, ""failure_rate"": 1.0}, {""prefix_index"": 11, ""failure_rate"": 1.0}, {""prefix_index"": 12, ""failure_rate"": 1.0}]"
qwen2.5:7b::raw_json::inventory_hard_03::20040,qwen2.5:7b,raw_json,inventory_hard_03,inventory,hard,loop_or_timeout,12,0.000,nontrivial_delta_mfp,1,1,0.083,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 1.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 4, ""failure_rate"": 1.0}, {""prefix_index"": 5, ""failure_rate"": 1.0}, {""prefix_index"": 6, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}, {""prefix_index"": 8, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}, {""prefix_index"": 10, ""failure_rate"": 1.0}, {""prefix_index"": 11, ""failure_rate"": 1.0}, {""prefix_index"": 12, ""failure_rate"": 1.0}]"
qwen2.5:7b::raw_json::inventory_hard_04::20043,qwen2.5:7b,raw_json,inventory_hard_04,inventory,hard,loop_or_timeout,12,0.000,nontrivial_delta_mfp,1,1,0.083,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 1.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 4, ""failure_rate"": 1.0}, {""prefix_index"": 5, ""failure_rate"": 1.0}, {""prefix_index"": 6, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}, {""prefix_index"": 8, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}, {""prefix_index"": 10, ""failure_rate"": 1.0}, {""prefix_index"": 11, ""failure_rate"": 1.0}, {""prefix_index"": 12, ""failure_rate"": 1.0}]"
qwen2.5:7b::raw_json::inventory_hard_04::20045,qwen2.5:7b,raw_json,inventory_hard_04,inventory,hard,loop_or_timeout,12,0.000,nontrivial_delta_mfp,1,1,0.083,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 1.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 4, ""failure_rate"": 1.0}, {""prefix_index"": 5, ""failure_rate"": 1.0}, {""prefix_index"": 6, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}, {""prefix_index"": 8, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}, {""prefix_index"": 10, ""failure_rate"": 1.0}, {""prefix_index"": 11, ""failure_rate"": 1.0}, {""prefix_index"": 12, ""failure_rate"": 1.0}]"
qwen2.5:7b::raw_json::inventory_hard_04::20047,qwen2.5:7b,raw_json,inventory_hard_04,inventory,hard,loop_or_timeout,12,0.000,nontrivial_delta_mfp,1,1,0.083,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 1.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 4, ""failure_rate"": 1.0}, {""prefix_index"": 5, ""failure_rate"": 1.0}, {""prefix_index"": 6, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}, {""prefix_index"": 8, ""failure_rate"": 1.0}, {""prefix_index"": 9, ""failure_rate"": 1.0}, {""prefix_index"": 10, ""failure_rate"": 1.0}, {""prefix_index"": 11, ""failure_rate"": 1.0}, {""prefix_index"": 12, ""failure_rate"": 1.0}]"
qwen2.5:7b::json_parse_repair::file_medium_04::20061,qwen2.5:7b,json_parse_repair,file_medium_04,file_email,medium,premature_final,5,1.000,prefix0,0,,,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 1, ""failure_rate"": 1.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 4, ""failure_rate"": 1.0}, {""prefix_index"": 5, ""failure_rate"": 1.0}]"
qwen2.5:7b::json_parse_repair::file_medium_04::20063,qwen2.5:7b,json_parse_repair,file_medium_04,file_email,medium,premature_final,5,1.000,prefix0,0,,,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 1, ""failure_rate"": 1.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 4, ""failure_rate"": 1.0}, {""prefix_index"": 5, ""failure_rate"": 1.0}]"
qwen2.5:7b::json_parse_repair::file_medium_04::20064,qwen2.5:7b,json_parse_repair,file_medium_04,file_email,medium,premature_final,5,1.000,prefix0,0,,,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 1, ""failure_rate"": 1.0}, {""prefix_index"": 2, ""failure_rate"": 0.6666666666666667}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 4, ""failure_rate"": 1.0}, {""prefix_index"": 5, ""failure_rate"": 1.0}]"
