trace_id,model,interface,task_id,family,fault_type,fault_class,method,method_display,repair,prefix_used,replay_n,n_success,success_rate,success_ci,per_seed_success,residual_failure,extra_model_calls,extra_tool_calls,elapsed_sec
qwen2.5:7b::tool_compiler::calendar_hard_02::50000::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,none,None,none,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50000::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,generic_retry,Retry,none,0,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,9.33,78.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50000::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,prompted_reflection,Reflection,preconditiongate,0,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,12.00,97.7
qwen2.5:7b::tool_compiler::calendar_hard_02::50000::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,predicted_repair,Predicted,evidencegate,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,6.00,39.9
qwen2.5:7b::tool_compiler::calendar_hard_02::50000::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,oracle_repair,Oracle,evidencegate,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,5.67,37.1
qwen2.5:7b::tool_compiler::calendar_hard_02::50000::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,clarifygate,ClarifyGate,clarifygate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50000::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,preconditiongate,PreconditionGate,preconditiongate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50000::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,evidencegate,EvidenceGate,evidencegate,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,6.00,39.2
qwen2.5:7b::tool_compiler::calendar_hard_02::50000::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,rollbackretry,RollbackRetry,rollbackretry,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.00,67.1
qwen2.5:7b::tool_compiler::calendar_hard_02::50000::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,boundaryshield,BoundaryShield,boundaryshield,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50001::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,stale_memory,persistent,none,None,none,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
