fault_class,method,method_display,n_traces,replay_n,n_trials,n_success_pooled,mean_success_rate,wilson_ci,lift_over_none,mean_extra_tool_calls,mean_elapsed_sec
persistent,none,None,5,3,15,0,0.000,"[0.00,0.20]",+0.000,1.00,0.0
persistent,generic_retry,Retry,5,3,15,15,1.000,"[0.80,1.00]",+1.000,8.73,71.9
persistent,prompted_reflection,Reflection,5,3,15,8,0.533,"[0.30,0.75]",+0.533,10.67,87.2
persistent,predicted_repair,Predicted,5,3,15,11,0.733,"[0.48,0.89]",+0.733,6.73,46.9
persistent,oracle_repair,Oracle,5,3,15,14,0.933,"[0.70,0.99]",+0.933,6.27,42.8
persistent,clarifygate,ClarifyGate,5,3,15,3,0.200,"[0.07,0.45]",+0.200,1.60,4.8
persistent,preconditiongate,PreconditionGate,5,3,15,4,0.267,"[0.11,0.52]",+0.267,3.87,23.7
persistent,evidencegate,EvidenceGate,5,3,15,6,0.400,"[0.20,0.64]",+0.400,3.00,16.0
persistent,rollbackretry,RollbackRetry,5,3,15,4,0.267,"[0.11,0.52]",+0.267,8.87,66.1
persistent,boundaryshield,BoundaryShield,5,3,15,0,0.000,"[0.00,0.20]",+0.000,1.00,0.0
soft,none,None,4,3,12,8,0.667,"[0.39,0.86]",+0.000,8.42,57.7
soft,generic_retry,Retry,4,3,12,12,1.000,"[0.76,1.00]",+0.333,4.75,37.6
soft,prompted_reflection,Reflection,4,3,12,6,0.500,"[0.25,0.75]",-0.167,8.00,63.4
soft,predicted_repair,Predicted,4,3,12,3,0.250,"[0.09,0.53]",-0.417,8.92,61.0
soft,oracle_repair,Oracle,4,3,12,1,0.083,"[0.01,0.35]",-0.583,8.91,61.4
soft,clarifygate,ClarifyGate,4,3,12,5,0.417,"[0.19,0.68]",-0.250,8.33,55.1
soft,preconditiongate,PreconditionGate,4,3,12,1,0.083,"[0.01,0.35]",-0.583,9.08,62.0
soft,evidencegate,EvidenceGate,4,3,12,3,0.250,"[0.09,0.53]",-0.417,8.92,59.9
soft,rollbackretry,RollbackRetry,4,3,12,5,0.416,"[0.19,0.68]",-0.250,8.25,55.6
soft,boundaryshield,BoundaryShield,4,3,12,3,0.250,"[0.09,0.53]",-0.417,9.25,63.1
