trace_id,model,interface,task_id,family,difficulty,fault_type,fault_prefix_index,mfp_category,mfp_index,delta_mfp_index,fault_to_mfp_distance,p0_failure_rate,failure_subtype,tested_prefixes,fault_class
llama3.1:8b::tool_compiler::calendar_medium_00::200000::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,medium,soft_date_ambiguity,3,nontrivial_delta_mfp,3,3,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}]",soft
qwen2.5:7b::tool_compiler::inventory_medium_00::200008::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,soft_untrusted_instruction,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}]",soft
qwen2.5:7b::tool_compiler::inventory_medium_00::200009::soft_wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,soft_wrong_id,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
qwen2.5:7b::tool_compiler::calendar_hard_03::200010::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_date_ambiguity,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
qwen2.5:7b::tool_compiler::inventory_medium_00::400001::soft_date_ambiguity,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,soft_date_ambiguity,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
qwen2.5:7b::tool_compiler::calendar_hard_03::400002::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_date_ambiguity,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
qwen2.5:7b::tool_compiler::calendar_hard_02::400003::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,soft_date_ambiguity,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
llama3.1:8b::tool_compiler::calendar_medium_00::400004::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,medium,soft_date_ambiguity,3,unstable,,,,0.500,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.5}, {""prefix_index"": 3, ""failure_rate"": 0.5}]",soft
llama3.1:8b::tool_compiler::calendar_medium_00::400005::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,medium,soft_date_ambiguity,3,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}]",soft
qwen2.5:7b::tool_compiler::inventory_medium_00::400006::soft_date_ambiguity,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,soft_date_ambiguity,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}]",soft
qwen2.5:7b::tool_compiler::inventory_medium_00::400010::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,soft_untrusted_instruction,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.5}]",soft
qwen2.5:7b::tool_compiler::inventory_medium_00::400011::soft_wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,medium,soft_wrong_id,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
qwen2.5:7b::tool_compiler::calendar_hard_03::400012::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_date_ambiguity,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
qwen2.5:7b::tool_compiler::calendar_hard_03::400013::soft_missing_field,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_missing_field,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
qwen2.5:7b::tool_compiler::calendar_hard_03::400014::soft_precondition_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_precondition_ambiguity,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
qwen2.5:7b::tool_compiler::calendar_hard_03::400015::soft_stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_stale_memory,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
qwen2.5:7b::tool_compiler::calendar_hard_03::400016::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_untrusted_instruction,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
qwen2.5:7b::tool_compiler::calendar_hard_03::400017::soft_wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,soft_wrong_id,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
qwen2.5:7b::tool_compiler::calendar_hard_02::400018::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,soft_date_ambiguity,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.5}]",soft
qwen2.5:7b::tool_compiler::calendar_hard_02::400019::soft_missing_field,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,soft_missing_field,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
qwen2.5:7b::tool_compiler::calendar_hard_02::400020::soft_precondition_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,soft_precondition_ambiguity,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.5}]",soft
